Name,CCT,CRI,sRGB
D65,6503,100,#FFFFFF
Los Angeles LED,4310,73,#FFD5B7
150 W HPS,2059,17,#FF8D00
Iwasaki 60W,3757,53,#FFD883
LEDway Streetlight CW 54W,6270,75,#F8FFF2
OCTRON 32 W,4012,79,#FFD79F
Ceramic Metal Halide 70 W,3071,79,#FFBB68
74 WW CW7,2448,54,#FFAA00
3000K LED,3262,80,#FFC85E
74 WW CW10,2096,49,#FF9400
Anna's Light,1193,26,#FF3E00
LPS 18 W,1810,-44,#FF8000
Metal Halide 70W,3071,79,#FFBB68
PC Amber Cree,1717,59,#FF7800
LLT Telescope Light,1908,81,#FF8500
AEL 75W,1743,58,#FF7A00
Yard Blaster,4164,64,#FFE39B
Cosmopolis 60W,2879,66,#FFB360
Kerosene Oil,1913,99,#FF8300
CFL Greenlite 13 W,2892,81,#FFB74F
Full moon,4134,98,#FFD9A6
Philips AmbientLED,2601,81,#FFA84A
SORAA Vivid,4965,93,#FFEBCB
Feit Red LED,679,62,#FF0000
TL950,4684,96,#FFE0C3
LSG Good Night 2016,2266,76,#FF9921
A,2856,100,#FFB160
Lumican LED,2251,66.6,#FF9730
